id X Y
Y032607 505873.3 307273.9
Y031610 505874 307235
Y030397 505873.9 307197.6
Y029961 505874.5 307149.3
Y036876 505860.2 307197
Y032107 505875.5 307100.9
Y036875 505829.4 307197
Y032357 505876 307059.4
Y036715 505866.8 307107.8
Y036716 505865.8 307099.1
Y036874 505826.3 307197.2
Y032719 505876.9 307020.6
Y030217 505821.2 307110.5
Y036872 505819.7 307197.3
Y031419 505877.7 306987.1
Y029887 505770 307112.4
Y036871 505787 307196.6
Y032134 505878.4 306951.9
Y035360 505747.9 307114.3
Y036870 505764.8 307196.7
Y029947 505879.4 306905.5
Y030582 505869.9 306951.7
Y030991 505746.8 307085.6
Y033580 505745.9 307114.7
Y036869 505740.8 307197.4
Y034314 505880 306853.2
Y035677 505858.3 306957.5
Y034403 505751.7 307077.6
Y031827 505723.6 307125.5
Y036868 505711.9 307197.7
Y031583 505881.3 306793.1
Y033333 505821.7 306956.9
Y035711 505757.6 307074.5
Y034351 505702.1 307128.5
Y036867 505699.9 307197.2
Y029657 505887.8 306757.5
Y031152 505783.5 306957
Y033724 505765 307069.6
Y033479 505673.1 307132.1
Y036866 505671.6 307196.1
Y032611 505892.9 306732.6
Y037059 505772.2 306957
Y031021 505773.8 307059.6
Y030179 505671.9 307109
Y034349 505670.7 307145.3
Y036865 505644.1 307196.2
Y033526 505879.9 306731.4
Y034437 505759 306956.2
Y029959 505773.4 307036.2
Y031898 505671.4 307099.9
Y030024 505621.5 307134.5
Y037061 505669.9 307148.6
Y036864 505614 307196.3
Y033937 505862.1 306729.3
Y029904 505721.1 306956.5
Y037068 505758.8 306946.8
Y032230 505795.7 307035.6
Y033307 505670 307076.5
Y030078 505601.4 307126.9
Y037063 505620.8 307138.2
Y036863 505589.7 307197.2
Y033773 505829.2 306729
Y031999 505710.9 306957.5
Y037067 505758.3 306932
Y034355 505801.7 307035.6
Y030009 505670.7 307074.2
Y035684 505592.1 307123.4
Y036861 505564.6 307198.1
Y034312 505800.3 306727
Y030795 505702 306957.9
Y037072 505757.7 306920
Y031730 505657.2 307071.7
Y032232 505679.6 307063.3
Y032747 505577 307117.7
Y036860 505558.8 307197.8
Y035038 505780.5 306727.3
Y032311 505699.5 306957.1
Y037065 505756.5 306879
Y036418 505679.3 307053.3
Y030963 505543.4 307114.2
Y032829 505577.2 307103.4
Y037060 505568.4 307113.5
Y036859 505521.3 307195.8
Y031121 505761.9 306726.6
Y034256 505682.3 306957.5
Y037073 505756.3 306868.8
Y032897 505680.1 307044.4
Y035470 505520.8 307113.9
Y033721 505577.1 307087
Y037062 505549.7 307113.5
Y036858 505515.5 307195.6
Y031830 505743.9 306725.7
Y030543 505671.7 306957.3
Y037066 505755.5 306845.7
Y030601 505710.2 307039.8
Y031230 505506.2 307114.4
Y030023 505576.7 307057.4
Y036857 505470.1 307196
Y034572 505738.7 306725.7
Y034683 505647.8 306957.7
Y032937 505755.6 306840.7
Y037069 505768.9 306844.4
Y034363 505738.7 307038.4
Y032283 505501.4 307109
Y033578 505501.5 307114.7
Y034253 505608.9 307056.4
Y036856 505450.2 307196.7
Y029950 505730.5 306725.3
Y030971 505648.1 306947.7
Y031148 505647.4 306970.4
Y032276 505621.6 306956.7
Y033131 505713.6 306842.2
Y037070 505785.7 306843.1
YF_00530 505500.1 307096.2
Y035686 505450.2 307113.3
Y037064 505631.1 307055.8
Y036855 505421.3 307196
Y032731 505707 306724
Y035039 505642.9 306974.9
Y033666 505576.7 306956.6
Y035148 505677.8 306842.8
Y037071 505803.3 306842
Y029962 505397.6 307114.9
Y036886 505396 307195.7
Y033204 505670.5 306724.6
Y033913 505639.6 307012.1
Y030713 505575.9 306940.6
Y032313 505571.5 306956.6
Y033777 505576.396667373 306958.329661017
Y031581 505672.9 306842.7
Y031149 505803.8 306830.1
Y033338 505397 307155.2
Y036885 505396 307199.4
Y035678 505652 306724.6
Y037166 505674.3 306723.4
Y032608 505642 307038.6
Y030541 505576.7 306924.1
Y031068 505556.9 306956.7
Y033681 505575.2 306963.4
Y032275 505670.8 306820.7
