Id X Y
3559 505846.88413393 307259.18010296
3559 505843.54523393 307258.99410296
3559 505844.79963393 307272.49300296
3559 505853.94343393 307273.41200296
3559 505858.55973393 307273.62370296
3559 505860.74963393 307271.52370296
3559 505861.24663393 307259.98110296
3559 505846.88413393 307259.18010296
3938 505846.58533393 307256.12730296
3938 505846.58533393 307251.55650296
3938 505843.34733393 307251.73050296
3938 505843.54523393 307258.99410296
3938 505846.88413393 307259.18010296
3938 505846.58533393 307256.12730296
4113 505877.751344148 307248.473794144
4113 505863.735349216 307247.711566672
4113 505863.52643393 307255.558302969
4113 505863.230633933 307266.685002957
4113 505863.048633929 307273.677802965
4113 505863.031833928 307274.32540296
4113 505867.430433933 307274.76750296
4113 505878.843033932 307276.513302967
4113 505877.754033934 307254.043602958
4113 505877.628133934 307253.228602968
4113 505877.658033933 307252.050602969
4113 505877.751344148 307248.473794144
3563 505850.39503393 307240.12700296
3563 505845.82323393 307240.25400296
3563 505846.07723393 307249.77750296
3563 505850.52203393 307249.77750296
3563 505850.39503393 307240.12700296
3567 505831.72573393 307244.82480296
3567 505829.31293393 307244.82480296
3567 505829.18583393 307247.49170296
3567 505829.18583393 307249.01560296
3567 505831.59873393 307249.14250296
3567 505843.28343393 307249.39650296
3567 505843.41023393 307245.07870296
3567 505831.72573393 307244.82480296
3610 505849.88703393 307251.42950296
3610 505849.88703393 307256.12730296
3610 505849.88703393 307256.50830296
3610 505860.25873393 307256.56030296
3610 505860.32463393 307250.94350296
3610 505849.88703393 307250.92160296
3610 505849.88703393 307251.42950296
3611 505849.88703393 307251.42950296
3611 505846.58533393 307251.55650296
3611 505846.58533393 307256.12730296
3611 505849.88703393 307256.12730296
3611 505849.88703393 307251.42950296
3679 505857.88773393 307241.26990296
3679 505855.47483393 307241.14290296
3679 505855.34783393 307244.82480296
3679 505857.88773393 307244.95170296
3679 505857.88773393 307241.26990296
3690 505836.67853393 307243.17490296
3690 505836.80543393 307239.23790296
3690 505836.80543393 307238.72990296
3690 505826.77283393 307238.47600296
3690 505826.77283393 307238.85690296
3690 505826.64583393 307243.30180296
3690 505829.31293393 307243.42880296
3690 505836.67853393 307243.55570296
3690 505836.67853393 307243.17490296
3693 505836.80543393 307239.23790296
3693 505836.67853393 307243.17490296
3693 505839.85443393 307243.30180296
3693 505839.85443393 307239.36490296
3693 505836.80543393 307239.23790296
3709 505850.39503393 307240.12700296
3709 505850.77613393 307240.12700296
3709 505850.64803393 307232.63530296
3709 505842.26723393 307232.63530296
3709 505842.26723393 307240.25400296
3709 505845.82323393 307240.25400296
3709 505850.39503393 307240.12700296
3736 505858.14063393 307234.03220296
3736 505853.82283393 307234.03220296
3736 505853.82393393 307237.20610296
3736 505858.14183393 307237.20610296
3736 505858.14063393 307234.03220296
3777 505851.02903393 307230.22240296
3777 505839.72643393 307230.34930296
3777 505839.72743393 307232.63530296
3777 505842.26723393 307232.63530296
3777 505850.64803393 307232.63530296
3777 505851.02903393 307232.63530296
3777 505851.02903393 307230.22240296
3786 505851.02903393 307230.22240296
3786 505851.02903393 307229.07930296
3786 505851.02903393 307224.50760296
3786 505850.77503393 307224.50760296
3786 505850.77503393 307223.23750296
3786 505839.59943393 307223.23750296
3786 505839.59943393 307225.27050296
3786 505839.72643393 307227.93730296
3786 505839.72643393 307230.34930296
3786 505851.02903393 307230.22240296
3793 505860.29963393 307224.50760296
3793 505855.60083393 307224.50760296
3793 505851.02903393 307224.50760296
3793 505851.02903393 307229.07930296
3793 505861.64673393 307228.98330296
3793 505861.76463393 307224.51350296
3793 505860.29963393 307224.50760296
3832 505855.60083393 307224.50760296
3832 505860.29963393 307224.50760296
3832 505860.29963393 307222.34870296
3832 505855.60083393 307222.34870296
3832 505855.60083393 307224.50760296
4114 505878.642330613 307213.86919887
4114 505864.65653364 307213.111903172
4114 505864.480633933 307219.722802959
4114 505864.171433933 307231.332402959
4114 505863.851433929 307243.366002969
4114 505863.735349216 307247.711566672
4114 505877.751344148 307248.473794144
4114 505877.943133932 307241.016102962
4114 505878.190233931 307231.427402962
4114 505878.442033928 307221.619802963
4114 505878.642330613 307213.86919887
4115 505879.51083032 307168.366059076
4115 505865.589975629 307168.853912547
4115 505865.055433933 307190.300102968
4115 505864.961433932 307194.078802962
4115 505864.382433929 307194.876802962
4115 505862.503833935 307195.436802965
4115 505862.320633929 307199.787602957
4115 505862.31163393 307200.000502963
4115 505862.283633929 307200.313602969
4115 505862.680833932 307200.392602962
4115 505863.713433929 307200.898602959
4115 505864.17653393 307201.330602966
4115 505864.588433929 307201.941702966
4115 505864.826433934 307202.574402962
4115 505864.907433935 307203.690602962
4115 505864.78853393 307208.166202962
4115 505864.65653364 307213.111903172
4115 505878.642330613 307213.86919887
4115 505878.706833929 307211.373202968
4115 505878.969833933 307201.169602968
4115 505878.996833928 307200.000502963
