Id X Y
Cond2726 505873.3 307273.9
Cond2726 505880.1 307322.2
Cond2318 505874 307235
Cond2318 505873.3 307273.9
Cond1836 505873.9 307197.6
Cond1836 505874 307235
Cond1662 505874.5 307149.3
Cond1662 505873.9 307197.6
Cond4438 505860.2 307197
Cond4438 505873.9 307197.6
Cond2533 505875.5 307100.9
Cond2533 505874.5 307149.3
Cond4437 505829.4 307197
Cond4437 505860.2 307197
Cond2627 505876 307059.4
Cond2627 505875.5 307100.9
Cond4336 505866.8 307107.8
Cond4336 505875.5 307100.9
Cond4338 505865.8 307099.1
Cond4338 505875.5 307100.9
Cond4436 505826.3 307197.2
Cond4436 505829.4 307197
Cond2801 505876.9 307020.6
Cond2801 505876 307059.4
Cond1754 505821.2 307110.5
Cond1754 505866.8 307107.8
Cond4337 505866.8 307107.8
Cond4337 505865.8 307099.1
Cond4434 505819.7 307197.3
Cond4434 505826.3 307197.2
Cond2229 505877.7 306987.1
Cond2229 505876.9 307020.6
Cond1616 505770 307112.4
Cond1616 505821.2 307110.5
Cond4433 505787 307196.6
Cond4433 505819.7 307197.3
Cond2542 505878.4 306951.9
Cond2542 505877.7 306987.1
Cond3897 505747.9 307114.3
Cond3897 505770 307112.4
Cond4432 505764.8 307196.7
Cond4432 505787 307196.6
Cond1655 505879.4 306905.5
Cond1655 505878.4 306951.9
Cond1893 505869.9 306951.7
Cond1893 505878.4 306951.9
Cond2079 505746.8 307085.6
Cond2079 505747.9 307114.3
Cond3150 505745.9 307114.7
Cond3150 505747.9 307114.3
Cond4431 505740.8 307197.4
Cond4431 505764.8 307196.7
Cond3476 505880 306853.2
Cond3476 505879.4 306905.5
Cond3998 505858.3 306957.5
Cond3998 505869.9 306951.7
Cond3525 505751.7 307077.6
Cond3525 505746.8 307085.6
Cond2393 505723.6 307125.5
Cond2393 505745.9 307114.7
Cond4430 505711.9 307197.7
Cond4430 505740.8 307197.4
Cond2297 505881.3 306793.1
Cond2297 505880 306853.2
Cond3026 505821.7 306956.9
Cond3026 505858.3 306957.5
Cond4023 505757.6 307074.5
Cond4023 505751.7 307077.6
Cond3497 505702.1 307128.5
Cond3497 505723.6 307125.5
Cond4429 505699.9 307197.2
Cond4429 505711.9 307197.7
Cond1531 505887.8 306757.5
Cond1531 505881.3 306793.1
Cond2148 505783.5 306957
Cond2148 505821.7 306956.9
Cond3205 505765 307069.6
Cond3205 505757.6 307074.5
Cond3099 505673.1 307132.1
Cond3099 505702.1 307128.5
Cond4428 505671.6 307196.1
Cond4428 505699.9 307197.2
Cond2730 505892.9 306732.6
Cond2730 505887.8 306757.5
Cond4501 505772.2 306957
Cond4501 505783.5 306957
Cond2093 505773.8 307059.6
Cond2093 505765 307069.6
Cond1743 505671.9 307109
Cond1743 505673.1 307132.1
Cond3495 505670.7 307145.3
Cond3495 505673.1 307132.1
Cond4427 505644.1 307196.2
Cond4427 505671.6 307196.1
Cond3129 505879.9 306731.4
Cond3129 505892.9 306732.6
Cond3544 505759 306956.2
Cond3544 505772.2 306957
Cond1659 505773.4 307036.2
Cond1659 505773.8 307059.6
Cond2447 505671.4 307099.9
Cond2447 505671.9 307109
Cond1679 505621.5 307134.5
Cond1679 505670.7 307145.3
Cond4503 505669.9 307148.6
Cond4503 505670.7 307145.3
Cond4426 505614 307196.3
Cond4426 505644.1 307196.2
Cond3316 505862.1 306729.3
Cond3316 505879.9 306731.4
Cond1631 505721.1 306956.5
Cond1631 505759 306956.2
Cond4510 505758.8 306946.8
Cond4510 505759 306956.2
Cond2586 505795.7 307035.6
Cond2586 505773.4 307036.2
Cond3016 505670 307076.5
Cond3016 505671.4 307099.9
Cond1704 505601.4 307126.9
Cond1704 505621.5 307134.5
Cond4505 505620.8 307138.2
Cond4505 505669.9 307148.6
Cond4425 505589.7 307197.2
Cond4425 505614 307196.3
Cond3238 505829.2 306729
Cond3238 505862.1 306729.3
Cond2491 505710.9 306957.5
Cond2491 505721.1 306956.5
Cond4509 505758.3 306932
Cond4509 505758.8 306946.8
Cond3501 505801.7 307035.6
Cond3501 505795.7 307035.6
Cond1673 505670.7 307074.2
Cond1673 505670 307076.5
Cond4005 505592.1 307123.4
Cond4005 505601.4 307126.9
Cond4423 505564.6 307198.1
Cond4423 505589.7 307197.2
Cond3474 505800.3 306727
Cond3474 505829.2 306729
Cond1992 505702 306957.9
Cond1992 505710.9 306957.5
Cond4514 505757.7 306920
Cond4514 505758.3 306932
Cond2351 505657.2 307071.7
Cond2351 505670.7 307074.2
Cond2588 505679.6 307063.3
Cond2588 505670.7 307074.2
Cond2816 505577 307117.7
Cond2816 505592.1 307123.4
Cond4422 505558.8 307197.8
Cond4422 505564.6 307198.1
Cond3750 505780.5 306727.3
Cond3750 505800.3 306727
Cond2611 505699.5 306957.1
Cond2611 505702 306957.9
Cond4507 505756.5 306879
Cond4507 505757.7 306920
Cond4278 505679.3 307053.3
Cond4278 505679.6 307063.3
Cond2065 505543.4 307114.2
Cond2065 505577 307117.7
Cond2851 505577.2 307103.4
Cond2851 505577 307117.7
Cond4502 505568.4 307113.5
Cond4502 505577 307117.7
Cond4421 505521.3 307195.8
Cond4421 505558.8 307197.8
Cond2132 505761.9 306726.6
Cond2132 505780.5 306727.3
Cond3455 505682.3 306957.5
Cond3455 505699.5 306957.1
Cond4515 505756.3 306868.8
Cond4515 505756.5 306879
Cond2869 505680.1 307044.4
Cond2869 505679.3 307053.3
Cond3933 505520.8 307113.9
Cond3933 505543.4 307114.2
Cond3202 505577.1 307087
Cond3202 505577.2 307103.4
Cond4504 505549.7 307113.5
Cond4504 505568.4 307113.5
Cond4420 505515.5 307195.6
Cond4420 505521.3 307195.8
Cond2397 505743.9 306725.7
Cond2397 505761.9 306726.6
Cond1868 505671.7 306957.3
Cond1868 505682.3 306957.5
Cond4508 505755.5 306845.7
Cond4508 505756.3 306868.8
Cond1908 505710.2 307039.8
Cond1908 505680.1 307044.4
Cond2172 505506.2 307114.4
Cond2172 505520.8 307113.9
Cond1678 505576.7 307057.4
Cond1678 505577.1 307087
Cond4419 505470.1 307196
Cond4419 505515.5 307195.6
Cond3597 505738.7 306725.7
Cond3597 505743.9 306725.7
Cond3628 505647.8 306957.7
Cond3628 505671.7 306957.3
Cond2891 505755.6 306840.7
Cond2891 505755.5 306845.7
Cond4511 505768.9 306844.4
Cond4511 505755.5 306845.7
Cond3505 505738.7 307038.4
Cond3505 505710.2 307039.8
Cond2602 505501.4 307109
Cond2602 505506.2 307114.4
Cond3148 505501.5 307114.7
Cond3148 505506.2 307114.4
Cond3452 505608.9 307056.4
Cond3452 505576.7 307057.4
Cond4418 505450.2 307196.7
Cond4418 505470.1 307196
Cond1657 505730.5 306725.3
Cond1657 505738.7 306725.7
Cond2073 505648.1 306947.7
Cond2073 505647.8 306957.7
Cond2144 505647.4 306970.4
Cond2144 505647.8 306957.7
Cond2596 505621.6 306956.7
Cond2596 505647.8 306957.7
Cond2953 505713.6 306842.2
Cond2953 505755.6 306840.7
Cond4512 505785.7 306843.1
Cond4512 505768.9 306844.4
Cond1660 505773.4 307036.2
Cond1660 505738.7 307038.4
Cond5001 505500.1 307096.2
Cond5001 505501.4 307109
Cond4007 505450.2 307113.3
Cond4007 505501.5 307114.7
Cond4506 505631.1 307055.8
Cond4506 505608.9 307056.4
Cond4417 505421.3 307196
Cond4417 505450.2 307196.7
Cond2807 505707 306724
Cond2807 505730.5 306725.3
Cond3751 505642.9 306974.9
Cond3751 505647.4 306970.4
Cond3185 505576.7 306956.6
Cond3185 505621.6 306956.7
Cond3798 505677.8 306842.8
Cond3798 505713.6 306842.2
Cond4513 505803.3 306842
Cond4513 505785.7 306843.1
Cond1663 505397.6 307114.9
Cond1663 505450.2 307113.3
Cond4449 505396 307195.7
Cond4449 505421.3 307196
Cond2976 505670.5 306724.6
Cond2976 505707 306724
Cond3298 505639.6 307012.1
Cond3298 505642.9 306974.9
Cond1960 505575.9 306940.6
Cond1960 505576.7 306956.6
Cond2613 505571.5 306956.6
Cond2613 505576.7 306956.6
Cond3242 505576.396667373 306958.329661017
Cond3242 505576.7 306956.6
Cond2295 505672.9 306842.7
Cond2295 505677.8 306842.8
Cond2145 505803.8 306830.1
Cond2145 505803.3 306842
Cond3031 505397 307155.2
Cond3031 505397.6 307114.9
Cond4447 505396 307199.4
Cond4447 505396 307195.7
Cond3999 505652 306724.6
Cond3999 505670.5 306724.6
Cond4538 505674.3 306723.4
Cond4538 505670.5 306724.6
Cond2727 505642 307038.6
Cond2727 505639.6 307012.1
Cond1866 505576.7 306924.1
Cond1866 505575.9 306940.6
Cond2113 505556.9 306956.7
Cond2113 505571.5 306956.6
Cond3189 505575.2 306963.4
Cond3189 505576.396667373 306958.329661017
Cond2595 505670.8 306820.7
Cond2595 505672.9 306842.7
Cond3364 505671.4 306867.9
Cond3364 505672.9 306842.7
Cond3440 505804 306806.9
Cond3440 505803.8 306830.1
Cond4448 505396 307195.7
Cond4448 505397 307155.2
Cond4446 505396.1 307214.5
Cond4446 505396 307199.4
Cond2141 505638 306725.3
Cond2141 505652 306724.6
Cond1925 505645.2 307053.3
Cond1925 505642 307038.6
Cond3233 505615 307039.3
Cond3233 505642 307038.6
Cond2452 505577.7 306910.7
Cond2452 505576.7 306924.1
Cond3666 505524.6 306956.9
Cond3666 505556.9 306956.7
Cond3577 505575.3 306971.6
Cond3577 505575.2 306963.4
Cond1656 505668.9 306796.4
Cond1656 505670.8 306820.7
Cond3987 505657 306868
Cond3987 505671.4 306867.9
Cond1896 505804 306792.8
Cond1896 505804 306806.9
Cond2612 505619.4 306726.6
Cond2612 505638 306725.3
Cond1520 505648.7 307069.3
Cond1520 505645.2 307053.3
Cond1898 505616 307025
Cond1898 505615 307039.3
Cond1899 505578.3 306897.6
Cond1899 505577.7 306910.7
Cond3585 505471.7 306956.8
Cond3585 505524.6 306956.9
Cond2615 505575.8 306985.4
Cond2615 505575.3 306971.6
Cond3598 505624.8 306868.1
Cond3598 505657 306868
Cond1995 505802.1 306784.2
Cond1995 505804 306792.8
Cond2814 505606.6 306727.3
Cond2814 505619.4 306726.6
Cond2604 505646.1 307074.7
Cond2604 505648.7 307069.3
Cond3025 505616.5 307005.7
Cond3025 505616 307025
Cond3363 505578.8 306883.8
Cond3363 505578.3 306897.6
Cond1735 505456 306958.4
Cond1735 505471.7 306956.8
Cond4613 505576.2 307014.8
Cond4613 505575.8 306985.4
Cond3359 505620.7 306872.5
Cond3359 505624.8 306868.1
Cond3586 505783.1 306783.3
Cond3586 505802.1 306784.2
Cond3796 505568.8 306728.8
Cond3796 505606.6 306727.3
Cond1715 505622 307077.5
Cond1715 505646.1 307074.7
Cond1650 505617.2 306992.1
Cond1650 505616.5 307005.7
Cond3317 505578 306875.3
Cond3317 505578.8 306883.8
Cond3956 505428.4 306957.9
Cond3956 505456 306958.4
Cond4612 505576.3 307021.5
Cond4612 505576.2 307014.8
Cond2951 505587.3 306873.8
Cond2951 505620.7 306872.5
Cond2784 505781.6 306762.4
Cond2784 505783.1 306783.3
Cond3748 505568.2 306759.9
Cond3748 505568.8 306728.8
Cond4187 505554.8 306729.7
Cond4187 505568.8 306728.8
Cond2179 505574.3 306864
Cond2179 505578 306875.3
Cond2230 505422 306956.9
Cond2230 505428.4 306957.9
Cond1993 505565.8 306779.8
Cond1993 505568.2 306759.9
Cond1870 505541.3 306729.8
Cond1870 505554.8 306729.7
Cond3745 505576.2 306856.8
Cond3745 505574.3 306864
Cond4357 505552.3 306864.8
Cond4357 505574.3 306864
Cond2442 505397.2 306957.5
Cond2442 505422 306956.9
Cond1614 505566.5 306808.8
Cond1614 505565.8 306779.8
Cond1654 505533.5 306729.9
Cond1654 505541.3 306729.8
Cond3007 505570.9 306844.4
Cond3007 505576.2 306856.8
Cond3131 505590.3 306854.3
Cond3131 505576.2 306856.8
Cond4356 505546.6 306862.5
Cond4356 505552.3 306864.8
Cond2290 505355.2 306956.4
Cond2290 505397.2 306957.5
Cond3237 505396.1 306972.8
Cond3237 505397.2 306957.5
Cond1526 505568 306830.9
Cond1526 505566.5 306808.8
Cond2892 505527.1 306730
Cond2892 505533.5 306729.9
Cond2614 505598.2 306848.4
Cond2614 505590.3 306854.3
Cond4355 505533.4 306861.7
Cond4355 505546.6 306862.5
Cond2114 505341.3 306956
Cond2114 505355.2 306956.4
Cond2228 505395.6 306983.2
Cond2228 505396.1 306972.8
Cond3006 505570.9 306844.4
Cond3006 505568 306830.9
Cond1525 505500.1 306730.4
Cond1525 505527.1 306730
Cond3191 505613.9 306844.7
Cond3191 505598.2 306848.4
Cond4354 505533.4 306847
Cond4354 505533.4 306861.7
Cond3596 505331.7 306955.8
Cond3596 505341.3 306956
Cond2633 505396.5 307011.9
Cond2633 505395.6 306983.2
Cond3733 505491.7 306730.5
Cond3733 505500.1 306730.4
Cond1653 505531.8 306846.9
Cond1653 505533.4 306847
Cond1998 505333.2 306933.4
Cond1998 505331.7 306955.8
Cond3126 505396.4 307028.5
Cond3126 505396.5 307011.9
Cond2231 505492.7 306758.4
Cond2231 505491.7 306730.5
Cond3315 505443.7 306731.5
Cond3315 505491.7 306730.5
Cond2227 505527.1 306845.7
Cond2227 505531.8 306846.9
Cond2288 505334 306920.4
Cond2288 505333.2 306933.4
Cond2392 505396.5 307052.4
Cond2392 505396.4 307028.5
Cond2441 505492.6 306766
Cond2441 505492.7 306758.4
Cond3212 505431.4 306731.5
Cond3212 505443.7 306731.5
Cond2593 505496.9 306841.1
Cond2593 505527.1 306845.7
Cond2298 505336 306897.8
Cond2298 505334 306920.4
Cond2636 505395.6 307056.6
Cond2636 505396.5 307052.4
Cond1958 505494.1 306778.8
Cond1958 505492.6 306766
Cond3664 505386.7 306730.6
Cond3664 505431.4 306731.5
Cond2544 505480.7 306838.6
Cond2544 505496.9 306841.1
Cond2321 505395.5 307068.8
Cond2321 505395.6 307056.6
Cond2597 505515.1 306782.5
Cond2597 505494.1 306778.8
Cond2954 505491.8 306778.9
Cond2954 505494.1 306778.8
Cond4011 505382.9 306730.3
Cond4011 505386.7 306730.6
Cond1994 505472.6 306830.7
Cond1994 505480.7 306838.6
Cond2854 505395.3 307090.3
Cond2854 505395.5 307068.8
Cond2358 505535 306783.9
Cond2358 505515.1 306782.5
Cond3190 505475.2 306780
Cond3190 505491.8 306778.9
Cond3802 505379.8 306730.2
Cond3802 505382.9 306730.3
Cond3362 505471.5 306826.8
Cond3362 505472.6 306830.7
Cond3760 505395.6 307108.8
Cond3760 505395.3 307090.3
Cond1867 505538.1 306806.6
Cond1867 505535 306783.9
Cond2212 505460.1 306778.9
Cond2212 505475.2 306780
Cond4183 505474.1 306797.1
Cond4183 505475.2 306780
Cond1959 505376.8 306762.6
Cond1959 505379.8 306730.2
Cond3986 505471 306825
Cond3986 505471.5 306826.8
Cond3734 505395.2 307111.7
Cond3734 505395.6 307108.8
Cond3797 505539.3 306820.3
Cond3797 505538.1 306806.6
Cond1527 505452.6 306779.6
Cond1527 505460.1 306778.9
Cond4185 505473.3 306811.8
Cond4185 505474.1 306797.1
Cond2072 505373.3 306779.4
Cond2072 505376.8 306762.6
Cond1728 505389 307111.6
Cond1728 505395.2 307111.7
Cond2890 505539.9 306827.7
Cond2890 505539.3 306820.3
Cond4184 505472.7 306821.1
Cond4184 505473.3 306811.8
Cond2635 505370.2 307111.3
Cond2635 505389 307111.6
Cond2296 505533.6 306846.5
Cond2296 505539.9 306827.7
Cond2974 505455.5 306819
Cond2974 505472.7 306821.1
Cond1664 505346.1 307111
Cond1664 505370.2 307111.3
Cond5073 505446.5 306818.6
Cond5073 505455.5 306819
Cond2629 505301.2 307111.5
Cond2629 505346.1 307111
Cond2956 505420.9 306815.5
Cond2956 505446.5 306818.6
Cond3297 505393.8 306807
Cond3297 505420.9 306815.5
Cond2826 505393.5 306809.4
Cond2826 505393.8 306807
Cond4566 505389 306804.5
Cond4566 505393.8 306807
Cond2214 505392.9 306826.4
Cond2214 505393.5 306809.4
Cond2396 505369.7 306794.4
Cond2396 505389 306804.5
Cond1997 505392.9 306834.2
Cond1997 505392.9 306826.4
Cond1632 505392.9 306836.2
Cond1632 505392.9 306834.2
Cond1734 505392.6 306861.1
Cond1734 505392.9 306836.2
Cond1894 505393.4 306870
Cond1894 505392.6 306861.1
Cond3665 505394.2 306884.8
Cond3665 505393.4 306870
Cond3085 505396.3 306890.1
Cond3085 505394.2 306884.8
Cond1795 505396.9 306899.8
Cond1795 505396.3 306890.1
Cond1857 505397 306906.6
Cond1857 505396.9 306899.8
Cond2294 505407.8 306906.5
Cond2294 505397 306906.6
Cond2142 505416.3 306906.7
Cond2142 505407.8 306906.5
